社名,主事業,本社,年間売り上げ,月間給与（例200千円=9300人民元）,年間休日,平均有給取得日,追加情報
(株)丸和運輸機関,物流・倉庫,埼玉県,【グループ連結】 1985億,207千円～230千円,120日,8.5日（2023年）,平均勤続年数:8.0年（2023年）
(株)オープンアップコンストラクション,建設,東京都,52億,210千円～240千円,118日,10日（2023年）,月平均残業時間:16.5時間:
日本システム技術(株),ソフトウエア,東京都、大阪府,261億,238千円～273千円,127日,11.6日（2023年）,平均勤続年数:9.6年（2023年）
CLINKS(株),情報処理,東京都,53億,210千円～230千円,120日,確認中,平均勤続年数:3.9年（2022年）
(株)飯田産業,住宅,東京都,2580億,180千円～300千円,115日,確認中,月平均残業時間:15.6時間:
(株)ワールドインテック,その他メーカー,東京都、福岡県,1547億,169千円～224千円,120日,21.6日（2022年）,月平均残業時間:16.5時間:
ITXコミュニケーションズ(株),商社（通信）,神奈川県,537億,220千円～250千円,110日,9.7日（2023年）,平均勤続年数:4.4年（2023年）
(株)ワールドインテック,半導体・電子・電気機器,東京都、福岡県,1547億,169千円～217千円,120日,21.6日（2022年）,月平均残業時間:16.5時間:
NCD(株),ソフトウエア,東京都,連結254億,202千円～247千円,14.6日（2022年）,確認中,平均勤続年数:11.6年（2023年）
(株)クレオ,ソフトウエア,東京都,78億,207千円～228千円,123日,11.8日（2023年）,平均勤続年数:14.2年（2023年）
(株)片桐建設,住宅,長野県,21億,170千円～240千円,108日～112日,5.3日（2020年）,平均勤続年数:6年（2020年）
(株)アーネストワン（飯田グループホールディングス）,住宅,東京都,2916億,240千円～250千円,126日,9.9日（2022年）,平均勤続年数:6.3年（2022年）
ヤマトプロテック(株),設備工事,東京都,301億,185千円～214千円,127日,6.9日（2021年）,平均勤続年数:11.6年（2021年）
(株)ワールドインテック,その他メーカー,東京都、福岡県,1547億,169千円～233千円,120日,21.6日（2022年）,月平均残業時間:16.5時間:
ワタミ(株),食品,東京都,外食事業　252億,202千円～222千円,確認中,8.7日（2023年）,平均勤続年数:10.6年（2023年）
(株)ワールドインテック,専門コンサルティング,東京都、福岡県,1547億,169千円～217千円,120日,21.6日（2022年）,月平均残業時間:16.5時間:
(株)テクノプロ　テクノプロ・IT社,ソフトウエア,東京都,395億,205千円～287千円,122日,確認中,月平均残業時間:12.8時間:
(株)ワールドインテック,受託開発,東京都、福岡県,1547億,187千円～233千円,120日,21.6日（2022年）,月平均残業時間:16.5時間:
(株)朝日工業社,設備工事,東京都,単体：898億,266千円～288千円,123日,12.1日（2023年）,平均勤続年数:19.7年（2023年）
三菱電機グループ,総合電機,東京都,5兆36億,200千円～277千円,確認中,18.2日（2022年）,月平均残業時間:25.1時間:
西濃運輸(株),陸運（貨物・バス・タクシー）,東京都、岐阜県,2673億,205千円～207千円,110日,7.9日（2021年）,平均勤続年数:17.0年（2022年）
