求人№,社名,主事業,副事業,本社,年間売り上げ,"月間給与（例200,000日円=9,300人民元）",年間休日,平均有給取得日,追加情報
2024071821,(株)ワークマン【ベイシアグループ】  【東証スタンダード市場上場】,アパレル（メーカー）,"アパレル（メーカー）																				、スポーツ・レジャー用品（メーカー）、専門店（アパレル・ファッション関連）、専門店（スポーツ・レジャー関連）",群馬県、東京都,"■1,698億円／2023年3月期","255,000円～265,500円",120日,9日（2022年）,月平均残業時間:11時間:
2024071822,(株)DAIEI,建設,"建設																				、建材・エクステリア、住宅、インテリア・住宅関連",愛知県,15億円（2024年3月）,"220,000円",10日（2021年）,確認中,月平均残業時間:10時間:
2024071825,東京ラヂエーター製造(株),自動車・自動車部品,"自動車・自動車部品																				、輸送用機器（船舶・航空・宇宙関連など）、金属製品",神奈川県,317億円(2023年3月期／連結),"230,000円～247,000円",122日,13.2日（2023年）,月平均残業時間:17.9時間:
2024071828,(株)共英,商社（機械・プラント・環境）,"商社（機械・プラント・環境）																				、リース・レンタル、福祉サービス、建設、通販・ネット販売",東京都,12億円　2020年9月,"270,000円～280,000円",125日,12日（2022年）,月平均残業時間:13時間:
2024071829,(株)神戸物産 【東証プライム市場上場】,食品,"食品																				、商社（食品・農林・水産）、スーパーマーケット、外食・レストラン",兵庫県,"単体／4,468億5,800万円（2023年10月期） 連結／4,615億4,600万円（2023年10月期）","200,000円～241,000円",118日,13.7日（2022年）,月平均残業時間:23.9時間:
2024071830,(株)NEW【ネクステージグループ】,商社（自動車関連・輸送用機器）,"商社（自動車関連・輸送用機器）																				、自動車・自動車部品、商社（機械・プラント・環境）、コンピュータ・通信機器、総合電機",大阪府,"4,634億円（2023年11月末／連結）","230,000円～286,000円",120日,確認中,確認中確認中
2024071831,(株)アズマシティ開発,不動産,"不動産																				、不動産（管理）",熊本県,４億1千万（2018年7月期）,"189,000円～201,000円",110日,10日（2022年）,月平均残業時間:20時間:
2024071832,パーク24グループ【パーク24(株)（東証プライム上場）／タイムズ24(株)／他5社】,不動産,"不動産																				、不動産（管理）、リース・レンタル、各種ビジネスサービス・BPO",東京都,"330,123百万円（前年度）※パーク２４グループ連結","246,000円～271,000円",125日,10.5日（2023年）,月平均残業時間:15.9時間:
2024071833,(株)トモエシステム,商社（機械・プラント・環境）,"商社（機械・プラント・環境）																				、半導体・電子・電気機器、自動車・自動車部品、機械、商社（複合）",兵庫県,165億円（2023年4月期）,"230,600円～235,600円",124日,11.3日（2022年）,月平均残業時間:10.4時間:
2024071834,(株)Aright,商社（複合）,"商社（複合）																				、商社（化学・石油・ガス・電気）、通信・インフラ、ガス・エネルギー、各種ビジネスサービス・BPO",東京都、大阪府,265億円（2022年度実績）,"250,000円",110日,確認中,確認中確認中
2024071835,社会福祉法人敬寿会,福祉サービス,福祉サービス,山形県,12日（2023年）,"157,000円～274,300円",114日,12日（2023年）,月平均残業時間:3.9時間:
2024071836,杉乃井ホテル＆リゾート(株),ホテル・旅館,"ホテル・旅館																				、レジャーサービス、外食・レストラン、冠婚葬祭",大分県,非公開,"185,000円～200,000円",10年（2022年）,30時間,確認中確認中
2024071840,(株)エーエルジェイ,ソフトウエア,"ソフトウエア																				、情報処理、受託開発、教育、インターネット関連",東京都,12億円,"242,000円",130日,14.2日（2023年）,月平均残業時間:10.1時間:
2024071841,山根土建(株),建設,"建設																				、建築設計、住宅、住宅（リフォーム）",北海道,"16億2,400万円（2023年度）","209,000円～233,000円",120日,9.3日（2022年）,月平均残業時間:11.5時間:
2024071842,NOK(株),自動車・自動車部品,"自動車・自動車部品																				、半導体・電子・電気機器、金属製品、タイヤ・ゴム製品",東京都,"（連結）7,505億円　※2024年3月期","216,000円～276,500円",121日,16.9日（2022年）,月平均残業時間:15.1時間:
2024071843,(株)三協デリカ,食品,"食品																				、給食・デリカ・フードビジネス",福岡県、熊本県,118億40百万円(2023年12月期),"210,000円～220,500円",122日,10日（2023年）,確認中確認中
2024071844,タカヤマ金属工業(株),金属製品,"金属製品																				、機械、商社（鉄鋼・金属）、鉄鋼、建設",埼玉県、大阪府,72億円（2023年3月期実績）,"204,700円～232,000円",120日,12.9日（2023年）,月平均残業時間:6.4時間:
2024071845,信光工業(株),機械,"機械																				、金属製品、食品、環境・リサイクル",長野県,"1,696,130千円","166,000円～192,200円",110日,6日（2021年）,月平均残業時間:1時間:
2024071846,ムロオグループ,物流・倉庫,"物流・倉庫																				、陸運（貨物・バス・タクシー）",広島県,10.5日（2022年）,"185,000円～246,000円",106日～112日,10.5日（2022年）,月平均残業時間:22.1時間:
2024071847,東亜電気工業(株),商社（複合）,"商社（複合）																				、商社（電子・電気機器・OA機器）、商社（精密・医療機器）、商社（自動車関連・輸送用機器）、半導体・電子・電気機器",東京都,"662億6,100万円（2023年2月実績）","264,000円",122日,15.1日（2023年）,月平均残業時間:4.0時間:
2024071848,大嘉産業(株),商社（複合）,"商社（複合）																				、建材・エクステリア、インテリア・住宅関連、建設コンサルタント、建築設計",東京都、大阪府,157億円（令和5年12月期）,"210,000円～213,000円",126日,11日（2023年）,月平均残業時間:10時間:
2024071849,システムメトリックス(株),ソフトウエア,"ソフトウエア																				、通信・インフラ、受託開発、インターネット関連",愛知県,"21億9,420万円（2023年８月決算）","240,000円～260,000円",121日,16.5日（2023年）,月平均残業時間:16時間:
2024071851,(株)アーク【Ark館ヶ森】,農林・水産,"農林・水産																				、食品、レジャーサービス、旅行・観光、商社（食品・農林・水産）",岩手県,65億円（2023年3月期）グループ連結,"190,000円～247,000円",105日,8日（2022年）,月平均残業時間:10時間:
2024071852,ホテルニューアワジグループ,ホテル・旅館,"ホテル・旅館																				、旅行・観光、外食・レストラン、レジャーサービス",兵庫県,グループ全体163億円（2022年12月度）,"200,200円～220,000円",確認中,確認中,確認中確認中
2024071853,ヒューマンライフケア(株),福祉サービス,"福祉サービス																				、教育、医療機関",東京都,8.6日（2022年）,"195,000円～215,000円",110日,8.6日（2022年）,月平均残業時間:8.9時間:
2024071854,(株)金宝堂,冠婚葬祭,"冠婚葬祭																				、専門店（その他小売）、通販・ネット販売、広告制作・Web制作、物流・倉庫",千葉県、東京都,350億円（2024年8月期見込) 200億円（2023年8月期実績) 130億円（2022年8月期実績),"213,500円～248,000円",10日（2023年）,確認中,女性管理職割合37.5％（2023年）
2024071855,FESホールディングスグループ,プラント・エンジニアリング,"プラント・エンジニアリング																				、機械設計、ソフトウエア、人材派遣・人材紹介、サービス（その他）",東京都,13億2700万円（2023年2月実績）,"200,000円～215,000円",122日,14.9日（2023年）,月平均残業時間:14.6時間:
2024071856,フェンリル(株),ソフトウエア,"ソフトウエア																				、インターネット関連、情報処理",東京都、大阪府,当社規定により非公開,"245,000円",125日,11.3日（2022年）,確認中確認中
2024071857,(株)プリンセススクゥエアー,不動産,"不動産																				、不動産（管理）、住宅、専門コンサルティング",東京都,119億7900万円（2023年11月期実績） 101億4200万円（2022年11月期実績） 71億1100万円（2021年11月期実績）,"195,400円～202,200円",104日～120日,11日（2023年）,月平均残業時間:18時間:
2024071859,(株)サンフィールド【システムステーショングループ】,フィットネスクラブ,"フィットネスクラブ																				、サービス（その他）、専門店（スポーツ・レジャー関連）、専門コンサルティング",神奈川県,66.9億円(2023年12月期実績),"216,400円～234,800円",120日,確認中,月平均残業時間:5時間:
2024071860,ベース(株)【東証プライム上場】,情報処理,"情報処理																				、専門コンサルティング、ソフトウエア、インターネット関連、その他金融",東京都,"132億9,300万円（2021年12末実績） 124億円（2020年12末実績） 97億1,400万円（2019年12末実績）","250,000円～266,000円",確認中,確認中,月平均残業時間:15.1時間:
2024071861,(株)GENEVIS,芸能・映画・音楽,"芸能・映画・音楽																				、広告制作・Web制作",東京都,非公開,"215,000円",確認中,7.8日（2023年）,確認中確認中
2024071862,メディカル・ケア・サービス東海(株),福祉サービス,"福祉サービス																				、医療機関、教育、不動産、エステティック・美容・理容",岐阜県,非公開,"181,000円～220,000円",114日,7.3日（2023年）,確認中確認中
2024071863,北星ゴム工業(株),タイヤ・ゴム製品,"タイヤ・ゴム製品																				、自動車・自動車部品、化学、建材・エクステリア、商社（建材）",富山県,64億円（2023年10月）,"180,000円～234,200円",115日,10.5日（2023年）,確認中確認中
2024071864,"黒田化学(株)【KURODA KAGAKU CO., LTD.】",自動車・自動車部品,"自動車・自動車部品																				、金属製品",富山県,連結:220億円（2023年1月）,"187,900円～234,770円",116日,10.2日（2022年）,月平均残業時間:18.2時間:
2024071865,(株)SIG【SIGグループ】,情報処理,"情報処理																				、ソフトウエア、インターネット関連、通信・インフラ、セキュリティ",東京都,69億900万円（2024年3月決算）,"186,900円～250,100円",123日,11.3日（2023年）,月平均残業時間:14.7時間:
2024071866,富士通クライアントコンピューティング(株),コンピュータ・通信機器,"コンピュータ・通信機器																				、半導体・電子・電気機器、家電・ＡＶ機器、精密機器",神奈川県,非公開,"214,000円～274,000円",127日,14日（2022年）,月平均残業時間:29.5時間:
2024071867,DOTOWN(株),不動産,"不動産																				、商社（インテリア・住宅関連）、ホテル・旅館、外食・レストラン、専門コンサルティング",東京都,50億円（2024年3月見込み）,"230,000円",10.4日（2023年）,確認中,月平均残業時間:15時間:
2024071868,高圧ガス工業(株)【東証プライム市場上場】,ガス・エネルギー,"ガス・エネルギー																				、化学、半導体・電子・電気機器",大阪府,"538億1,200万円（2023年3月）","196,600円～241,000円",125日,9日（2022年）,月平均残業時間:10.3時間:
2024071869,(株)エムピーキッチン,食品,"食品																				、広告、外食・レストラン、通販・ネット販売、商社（食品・農林・水産）",東京都,23年： 22年：56億円 21年：45億円 20年：50億円,"251,000円～280,000円",確認中,7.5日（2023年）,確認中確認中
2024071870,トーシングループ【(株)トーシンホールディングス（東証スタンダード市場上場）・ (株)トーシンモバイル・トーシンリゾート(株)・(株)伊良湖シーサイドゴルフ倶楽部】,商社（通信）,"商社（通信）																				、レジャーサービス、専門店（家電・OA機器）、専門店（スポーツ・レジャー関連）、不動産（管理）",愛知県,連結　169億円（2023年4月期）,"180,000円～250,000円",確認中,5.0日（2023年）,確認中確認中
2024071871,(株)あぶらや燈千,ホテル・旅館,"ホテル・旅館																				、外食・レストラン",長野県,"４億６,９２６万円（2023年5月）","240,000円",105日,5日（2022年）,女性管理職割合50.0％（2022年）
2024071872,アーバンホテルシステム(株),ホテル・旅館,"ホテル・旅館																				、外食・レストラン",京都府,30億円(2022年度),"208,585円～225,310円",108日,確認中,確認中確認中
2024071873,(株)不動産のデパートひろた,不動産,"不動産																				、不動産（管理）",福岡県,"25億6,900万円（2023年9月決算）","206,500円～267,000円",114日,12.8日（2023年）,月平均残業時間:12.6時間:
2024071874,カトープレジャーグループ,ホテル・旅館,"ホテル・旅館																				、外食・レストラン、レジャーサービス",東京都、大阪府,328億円（2023年度）,"181,300円～245,000円",107日,9日（2022年）,確認中確認中
2024071875,グローブシップ(株),ビル施設管理・メンテナンス,"ビル施設管理・メンテナンス																				、設備工事、不動産（管理）、セキュリティ",東京都,"単体：　約410億円(2024年3月決算） グループ全体：　約1,000億円（2024年3月決算）","200,000円～220,000円",確認中,14日（2024年）,月平均残業時間:15時間:
2024071876,東芝ライフスタイルグループ,家電・ＡＶ機器,"家電・ＡＶ機器																				、機械、商社（電子・電気機器・OA機器）、設備工事、検査・整備・メンテナンス",東京都、神奈川県,非公開,"187,000円～269,500円",126日,15.4日（2022年）,月平均残業時間:19時間:
