求人№,社名,主事業,副事業,本社,年間売り上げ,"月間給与（例200,000日円=9,300人民元）",年間休日,平均有給取得日,追加情報
2024071720,(株)テクノプロ　テクノプロ・IT社,ソフトウエア,情報処理、インターネット関連、受託開発,東京都,395億円（2023年6月期）,"205,000円～287,920円",122日,確認中,月平均残業時間:12.8時間:
2024071721,(株)ワールドインテック【ファクトリー事業部 スペシャリスト（技術）職コース】,受託開発,総合電機、自動車・自動車部品、機械設計、医療用機器・医療関連,東京都、福岡県,"1,547億400万円（2021年12月期連結）","187,500円～233,600円",120日,21.6日（2022年）,月平均残業時間:16.5時間:
2024071722,(株)朝日工業社【東証プライム上場】,設備工事,建設、精密機器、機械設計、半導体・電子・電気機器,東京都,"単体：898億900万円 連結：916億7,600万円 （2024年3月期）","266,000円～288,000円",123日,12.1日（2023年）,平均勤続年数:19.7年（2023年）
2024071723,三菱電機グループ,総合電機,家電・ＡＶ機器、半導体・電子・電気機器、輸送用機器（船舶・航空・宇宙関連など）、ソフトウエア,東京都,5兆36億円／連結（2023年3月現在）,"200,000円～277,000円",確認中,18.2日（2022年）,月平均残業時間:25.1時間:
2024071724,西濃運輸(株)【セイノーグループ】,陸運（貨物・バス・タクシー）,物流・倉庫,東京都、岐阜県,"2,673億6,600万円（2023年3月）","205,350円～207,350円",110日,7.9日（2021年）,平均勤続年数:17.0年（2022年）
2024071725,武蔵野グループ,食品,物流・倉庫、商社（食品・農林・水産）、ホテル・旅館,埼玉県,"武蔵野：1,672億8,647万円　フーズ：353億1,765万円　ロジ：163億4,454万円","200,000円～266,800円",105日～117日,確認中,確認中確認中
2024071726,(株)ティーケーピー,不動産（管理）,不動産、イベント・興行、ホテル・旅館、商社（複合）,東京都,公開,"205,000円～230,000円",112日,14.8日（2021年）,月平均残業時間:2.7時間:
2024071727,つばめグループ,陸運（貨物・バス・タクシー）,サービス（その他）、人材派遣・人材紹介、インターネット関連、旅行・観光,愛知県,グループ計／205億1900万円（2023年12月期実績）,"205,000円～265,000円",120日,9.0日（2022年）,確認中確認中
2024071728,(株)上越観光開発【ホテルグリーンプラザ上越・上越国際スキー場】,ホテル・旅館,レジャーサービス、旅行・観光、サービス（その他）,新潟県,"37億1,402万円（2023年11月実績）","175,000円～185,000円",120日,13.2日（2022年）,平均勤続年数:11.4年（2022年）
2024071729,旭コンクリート工業(株)【東証スタンダード上場】,セメント,建材・エクステリア、建設、その他メーカー,東京都,70億 7100万円（2024年3月期）,"210,000円～240,000円",125日,11.5日（2023年）,平均勤続年数:17.3年（2023年）
2024071730,(株)三井E＆S【東証プライム市場上場】【旧：三井造船グループ】,機械,輸送用機器（船舶・航空・宇宙関連など）、重電・産業用電気機器、プラント・エンジニアリング、建設,東京都,"連結　2,623億円　（2022年度）","216,200円～275,700円",125日,16.9日（2021年）,平均勤続年数:14.2年（2021年）
2024071731,(株)リフィナス,フィットネスクラブ,サービス（その他）、専門コンサルティング、レジャーサービス、商社（スポーツ・レジャー用品）,大阪府,4億円,"215,000円",110日,確認中,平均勤続年数:4年（2023年）
2024071732,山陽環境開発(株),環境・リサイクル,ビル施設管理・メンテナンス,岡山県,"3億5,000万円/　グループ計　6億5,000万円(2022年/9月実績)","189,000円～194,000円",105日,12.6日（2023年）,平均勤続年数:10年（2023年）
2024071733,(株)日本製鋼所【東証プライム上場】,機械,鉄鋼、自動車・自動車部品、精密機器、半導体・電子・電気機器,東京都,"2,387億円2,100万円（連結：2023年3月現在） 1,572億円7,200万円（単体：2023年3月現在）","205,000円～277,900円",116日～123日,13.9日（2022年）,平均勤続年数:12.5年（2022年）
2024071734,日穀製粉(株),食品,商社（食品・農林・水産）、外食・レストラン,長野県,"110億9,800万円（2023年3月）","180,000円～220,000円",120日,確認中,平均勤続年数:16年（2024年）
2024071735,昭和鋼機(株),プラント・エンジニアリング,設備工事、機械、機械設計、商社（機械・プラント・環境）,愛知県,32億円（2024年4月）,"205,000円～220,000円",116日,10.6日（2023年）,平均勤続年数:13年（2023年）
2024071737,(株)日立産機システム,重電・産業用電気機器,機械、その他電子・電気関連、精密機器、機械設計,東京都,"連結：2,727億円（2022.3）","210,000円～275,000円",126日,17.2日（2022年）,平均勤続年数:18.9年（2022年）
2024071738,ベストコミュニケーションズ(株),広告,インターネット関連、通信・インフラ、商社（通信）、専門コンサルティング,東京都、大阪府,265億円（2022年度実績）,"250,000円",110日,確認中,確認中確認中
2024071739,サマンサタバサグループ,アパレル（メーカー）,専門店（アパレル・ファッション関連）、商社（アパレル・ファッション関連）,東京都,252億円（2023年2月、連結）,"198,000円～235,000円",110日～120日,確認中,月平均残業時間:5時間:
2024071740,F-LINE(株),物流・倉庫,陸運（貨物・バス・タクシー）、情報処理、海運,東京都,823億円（2023年3月期）,"185,900円～231,200円",110日,15.1日（2023年）,平均勤続年数:14.0年（2023年）
2024071741,協栄工業(株),設備工事,建築設計、建設、住宅、空間デザイン・ディスプレイ,大分県,20億円（2023年9月期 実績）【県内シェアNo.1】,"185,000円～215,000円",100日,16.6日（2022年）,平均勤続年数:11.3年（2022年）
2024071742,(株)土谷特殊農機具製作所,機械,機械設計,北海道,67億円（2022年度実績）,"210,700円",10日（2023年）,確認中,平均勤続年数:20年（2023年）
2024071743,メディアミックス(株),情報処理,ソフトウエア、インターネット関連,静岡県,"21,800万円（2023年7月期）","204,000円～235,000円",122日,9.4日（2022年）,月平均残業時間:10.9時間:
2024071744,(株)フジタ,建設,建築設計、住宅、不動産、設備工事,東京都,"5,808億円(2023年3月期)","250,000円～290,000円",13.5日（2021年）,確認中,平均勤続年数:14.9年（2021年）
2024071745,(株)グッドスピード,商社（自動車関連・輸送用機器）,専門店（自動車関連）、損害保険、自動車・自動車部品、スポーツ・レジャー用品（メーカー）,愛知県,644億円（2023年9月実績）,"175,000円～235,000円",115日～120日,6.7日（2022年）,平均勤続年数:3.3年（2022年）
2024071746,(株)グローバルセンター,不動産,不動産（管理）、住宅（リフォーム）,香川県,"15億9,800万円（2023年12月期） （2023年12月期：関連会社含むと27億5,700万円）","212,100円～237,000円",120日,11日（2023年）,平均勤続年数:7.7年（2023年）
2024071747,(株)ハウスクル,不動産,不動産（管理）、住宅、インテリア・住宅関連、住宅（リフォーム）,東京都,"5,697百万円（2023年9月度）","230,000円～250,000円",142日,確認中,平均勤続年数:3年（2023年）
2024071748,(株)ハステック,インターネット関連,人材派遣・人材紹介、教育、空間デザイン・ディスプレイ、環境・リサイクル,東京都,非公開,"220,000円",124日,確認中,女性管理職割合20.0％（2023年）
2024071749,(株)ライトコア,広告制作・Web制作,インターネット関連、通信・インフラ、商社（通信）、専門コンサルティング,東京都、大阪府,265億円（2022年度実績）,"250,000円",110日,確認中,確認中確認中
2024071750,(株)エイブル,不動産,不動産（管理）、専門コンサルティング、住宅（リフォーム）、インテリア・住宅関連,東京都,"466億6,600万円（2022年10月期）","245,520円～270,630円",110日,9日（2023年）,確認中確認中
2024071752,デンヨー(株)【東証プライム上場】,重電・産業用電気機器,機械、自動車・自動車部品,東京都,"442億900万円（単体） 731億4,000万円（連結） 2024年3月期実績","229,000円～256,500円",125日,13.0日（2023年）,平均勤続年数:12.7年（2023年）
2024071753,キャル(株),ソフトウエア,情報処理、インターネット関連、通信・インフラ、ニュース・データ通信,東京都、大阪府,119億7千万円（2023年8月時点）,"235,000円～250,000円",125日,11.9日（2022年）,月平均残業時間:12.3時間:
2024071754,(株)船井総合研究所,専門コンサルティング,コンサルティングファーム、シンクタンク・マーケティング・調査、サービス（その他）,東京都、大阪府,"256 億 3,500 万円（連結・2022年12月末実績）","238,000円～270,000円",121日～125日,確認中,女性管理職割合6.3％（2022年）
2024071755,(株)Dirbato,コンサルティングファーム,情報処理、ソフトウエア、専門コンサルティング,東京都,282億円（2024年3月時点）,"321,000円～375,000円",125日,確認中,平均勤続年数:4.0年（2023年）
2024071756,(株)ピアライフ,不動産,住宅（リフォーム）、商社（インテリア・住宅関連）、損害保険,滋賀県,"4億8,000万円（2023年3月）","209,000円～232,000円",110日,確認中,月平均残業時間:15時間:
2024071757,トォータルフーズ(株),商社（食品・農林・水産）,食品、農林・水産,北海道,50億円（2023年度）,"175,000円～205,000円",確認中,8.7日（2022年）,平均勤続年数:13.2年（2022年）
2024071758,(株)ミロク,その他メーカー,機械設計、商社（文具・事務用品・日用品）、日用品・生活関連機器、ホームセンター,静岡県,"8億5,000万円（2022年度（2023年2月決算））","193,000円～205,700円",120日,10.8日（2023年）,平均勤続年数:16年（2022年）
2024071759,栄光テクノ(株),建設,設備工事、プラント・エンジニアリング、商社（建材）、検査・整備・メンテナンス,岡山県,21億円 (2022年8月実績),"180,000円～235,000円",122日,9.3日（2022年）,平均勤続年数:9.1年（2022年）
2024071760,ニデックモビリティ(株),自動車・自動車部品,半導体・電子・電気機器、精密機器,愛知県,"1,359億円（2023年度）","227,000円～306,500円",129日,16日（2023年）,平均勤続年数:17年（2023年）
2024071762,(有)佐世保電子サービス＜auショップ＞,商社（通信）,専門店（その他小売）,長崎県,"7億6,500万円（2023年12月）","170,000円～180,000円",105日,14日（2023年）,平均勤続年数:6.5年（2023年）
2024071764,(株)TJKリゾート,ホテル・旅館,外食・レストラン、イベント・興行,東京都,17億40万円(2022年3月),"205,800円～217,000円",107日,9.1日（2022年）,平均勤続年数:6.1年（2022年）
2024071765,パスコン(株),半導体・電子・電気機器,ソフトウエア、機械、機械設計,静岡県,24億円【2023年6月実績】,"180,000円～200,000円",121日,14.3日（2023年）,平均勤続年数:8.1年（2023年）
2024071766,深川水産(株),農林・水産,商社（食品・農林・水産）、通販・ネット販売、食品,熊本県,非公開,"175,000円～180,000円",108日,確認中,月平均残業時間:10時間:
2024071767,ＳＡＴＯＨ　ＧＲＯＵＰ,機械,金属製品、輸送用機器（船舶・航空・宇宙関連など）,愛知県,34億円（2020年8月実績）,"222,200円～230,200円",115日,10.6日（2019年）,月平均残業時間:10.9時間:
2024071768,(株)ウィローズ,不動産,不動産（管理）、専門コンサルティング、住宅（リフォーム）、インテリア・住宅関連,東京都,"29億4,756万円（2023年6月期） グループ取扱高　95億円","260,000円～280,000円",120日,10日（2023年）,月平均残業時間:30時間:
2024071769,(株)リスコンス,不動産,損害保険、不動産（管理）、専門コンサルティング、住宅,東京都,36億円（2023年7月実績),"250,000円",120日,確認中,月平均残業時間:20時間:
2024071770,(株)エコー,化学,精密機器、インテリア・住宅関連、家電・ＡＶ機器、自動車・自動車部品,神奈川県,52億円,"195,000円～255,000円",120日,確認中,平均勤続年数:15.5年（2023年）
2024071771,(有)アウトソー【じゃすみんの家】,福祉サービス,サービス（その他）,東京都,"2023年3月　5億9,499万円 2022年3月　5億3,678万円","235,000円～270,000円",112日,15日（2023年）,月平均残業時間:5時間:
2024071772,東海興業(株),自動車・自動車部品,建材・エクステリア、タイヤ・ゴム製品,愛知県,429.7億円（2024年3月）,"195,000円～245,500円",121日,16.8日（2023年）,平均勤続年数:15.9年（2023年）
2024071773,中央発條(株),金属製品,自動車・自動車部品,愛知県,"単独　527億3,300万円／連結　927億6,600万円（2023年3月期）","226,000円～276,000円",121日,17日（2023年）,平均勤続年数:21年（2022年）
2024071774,高砂工業(株),プラント・エンジニアリング,ガラス・セラミックス、機械設計、機械、設備工事,岐阜県,40億円（2023年６月期）,"192,000円～222,400円",123日,9.3日（2023年）,平均勤続年数:20.3年（2023年）
2024071775,(株)MAHOFILM,放送,芸能・映画・音楽、広告、芸術関連、イベント・興行,東京都,8億円（2023年3月 実績）,"189,000円～210,000円",115日,確認中,女性管理職割合50.0％（2023年）
2024071776,日本プラスト(株)【東証スタンダード市場上場】,自動車・自動車部品,機械、機械設計,静岡県,1033億円（2023年3月期）,"182,500円～217,700円",121日,確認中,平均勤続年数:15.8年（2023年）
2024071777,日本BCP(株),物流・倉庫,商社（化学・石油・ガス・電気）、陸運（貨物・バス・タクシー）、人材派遣・人材紹介、半導体・電子・電気機器,東京都、大阪府,約16億円,"190,000円～210,000円",120日,8日（2022年）,月平均残業時間:20時間:
2024071779,(株)アクセスオンライン,商社（通信）,ニュース・データ通信、各種ビジネスサービス・BPO、商社（化学・石油・ガス・電気）、通信・インフラ,東京都、大阪府,265億円（2022年度実績）,"250,000円",110日,確認中,確認中確認中
2024071780,ハウスリンクマネジメント(株),不動産,不動産（管理）、商社（インテリア・住宅関連）、住宅、建設,東京都,40億円,"257,422円",130日,確認中,月平均残業時間:10時間:
2024071781,(株)TREND　LINE,商社（インテリア・住宅関連）,住宅（リフォーム）、専門店（家電・OA機器）、広告、不動産,東京都、愛知県,2023年度　3億円 2024年度　7億円,"240,000円",125日,確認中,平均勤続年数:4年（2023年）
2024071782,平和交通(株),陸運（貨物・バス・タクシー）,旅行・観光、レジャーサービス,東京都、神奈川県,65億円(2020年度3月),"172,281円～210,000円",109日,8日（2021年）,平均勤続年数:14年（2021年）
2024071783,(株)レガーレ,不動産,不動産（管理）、専門コンサルティング,東京都,1.5億円,"230,000円",125日,5日（2022年）,月平均残業時間:20時間:
2024071784,(株)キャリア・ブランディング,専門コンサルティング,広告、インターネット関連、商社（通信）、情報処理,東京都、大阪府,265億円（2022年度実績）,"250,000円",110日,確認中,確認中確認中
2024071785,(株)KARADEMO,芸能・映画・音楽,アミューズメント、外食・レストラン、福祉サービス、ゲーム・玩具・アミューズメント製品,東京都,社内規定により非公開,"220,000円～300,000円",120日,15日（2023年）,月平均残業時間:20時間:
2024071786,(株)ニイテック,自動車・自動車部品,金属製品,広島県,138億円【2023年3月実績】,"180,300円～202,791円",121日,10日（2022年）,平均勤続年数:11.3年（2023年）
2024071787,赤田工業(株),機械,金属製品、非鉄金属、半導体・電子・電気機器、精密機器,長野県,"7億4,000万円（2023年５月）","170,000円～208,000円",111日,7日（2023年）,平均勤続年数:9.8年（2023年）
2024071788,田中サッシュ工業(株),インテリア・住宅関連,金属製品、建築設計、検査・整備・メンテナンス、住宅,神奈川県,24億7400万円 2023年9月決算,"181,460円～209,760円",118日,11.1日（2022年）,平均勤続年数:16.5年（2022年）
2024071789,とまと情報(株),ソフトウエア,情報処理、専門コンサルティング、インターネット関連,東京都,"113,000,000円(令和4年度実績)","220,000円～225,000円",130日,10日（2023年）,月平均残業時間:10時間:
2024071790,(株)松本商店,金属製品,建材・エクステリア、商社（鉄鋼・金属）、商社（機械・プラント・環境）,福岡県,"30億5,500万円（2023年7月実績）","216,900円～226,900円",115日,20日（2022年）,平均勤続年数:9年（2022年）
2024071791,(株)HSフィールド,不動産,専門コンサルティング、不動産（管理）、ビル施設管理・メンテナンス、その他金融,埼玉県,4億円※2023年12月期決算,"270,000円",125日,8日（2023年）,平均勤続年数:3年（2023年）
2024071792,パラカ(株),不動産（管理）,不動産、空間デザイン・ディスプレイ、コンサルティングファーム、シンクタンク・マーケティング・調査,東京都,公開,"275,000円",120日,12.1日（2023年）,平均勤続年数:7年（2023年）
